  
2024-03-20 . 
2024-03-20 .. 
2024-03-20 boot /dev/block/by-name/boot_a
2024-03-20 boot_a /dev/block/mmcblk0p23
2024-03-20 boot_b /dev/block/mmcblk0p37
2024-03-20 boot_para /dev/block/mmcblk0p1
2024-03-20 dtbo_a /dev/block/mmcblk0p26
2024-03-20 dtbo_b /dev/block/mmcblk0p40
2024-03-20 expdb /dev/block/mmcblk0p3
2024-03-20 flashinfo /dev/block/mmcblk0p48
2024-03-20 frp /dev/block/mmcblk0p4
2024-03-20 gz_a /dev/block/mmcblk0p21
2024-03-20 gz_b /dev/block/mmcblk0p35
2024-03-20 init_boot_a /dev/block/mmcblk0p25
2024-03-20 init_boot_b /dev/block/mmcblk0p39
2024-03-20 lk_a /dev/block/mmcblk0p22
2024-03-20 lk_b /dev/block/mmcblk0p36
2024-03-20 logo /dev/block/mmcblk0p16
2024-03-20 md1img_a /dev/block/mmcblk0p17
2024-03-20 md1img_b /dev/block/mmcblk0p31
2024-03-20 md_udc /dev/block/mmcblk0p7
2024-03-20 metadata /dev/block/mmcblk0p8
2024-03-20 mmcblk0 /dev/block/mmcblk0
2024-03-20 mmcblk0boot0 /dev/block/mmcblk0boot0
2024-03-20 mmcblk0boot1 /dev/block/mmcblk0boot1
2024-03-20 nvcfg /dev/block/mmcblk0p5
2024-03-20 nvdata /dev/block/mmcblk0p6
2024-03-20 nvram /dev/block/mmcblk0p15
2024-03-20 otp /dev/block/mmcblk0p47
2024-03-20 para /dev/block/mmcblk0p2
2024-03-20 persist /dev/block/mmcblk0p12
2024-03-20 preloader_a /dev/block/mmcblk0boot0
2024-03-20 preloader_b /dev/block/mmcblk0boot1
2024-03-20 proinfo /dev/block/mmcblk0p14
2024-03-20 protect1 /dev/block/mmcblk0p9
2024-03-20 protect2 /dev/block/mmcblk0p10
2024-03-20 scp_a /dev/block/mmcblk0p19
2024-03-20 scp_b /dev/block/mmcblk0p33
2024-03-20 sec1 /dev/block/mmcblk0p13
2024-03-20 seccfg /dev/block/mmcblk0p11
2024-03-20 spmfw_a /dev/block/mmcblk0p18
2024-03-20 spmfw_b /dev/block/mmcblk0p32
2024-03-20 sspm_a /dev/block/mmcblk0p20
2024-03-20 sspm_b /dev/block/mmcblk0p34
2024-03-20 super /dev/block/mmcblk0p42
2024-03-20 tee_a /dev/block/mmcblk0p27
2024-03-20 tee_b /dev/block/mmcblk0p41
2024-03-20 userdata /dev/block/mmcblk0p46
2024-03-20 vbmeta_a /dev/block/mmcblk0p28
2024-03-20 vbmeta_b /dev/block/mmcblk0p43
2024-03-20 vbmeta_system_a /dev/block/mmcblk0p29
2024-03-20 vbmeta_system_b /dev/block/mmcblk0p44
2024-03-20 vbmeta_vendor /dev/block/by-name/vbmeta_vendor_a
2024-03-20 vbmeta_vendor_a /dev/block/mmcblk0p30
2024-03-20 vbmeta_vendor_b /dev/block/mmcblk0p45
2024-03-20 vendor_boot_a /dev/block/mmcblk0p24
2024-03-20 vendor_boot_b /dev/block/mmcblk0p38
